LAD21NM,LAD21CD,count,LONG,LAT
Barking and Dagenham,E09000002,23,0.129479,51.54555
Barnet,E09000003,37,-0.21819,51.61107
Basingstoke and Deane,E07000084,10,-1.22021,51.25937
Birmingham,E08000025,110,-1.88141,52.48404
"Bournemouth, Christchurch and Poole",E06000058,39,-1.84807,50.74609
Bradford,E08000032,15,-1.87389,53.84382
Brent,E09000005,31,-0.27568,51.56438
Brighton and Hove,E06000043,18,-0.15079,50.8465
"Bristol, City of",E06000023,46,-2.57742,51.47115
Bromley,E09000006,15,0.039246,51.37266
Calderdale,E08000033,6,-1.96182,53.72048
Cambridge,E07000008,20,0.126436,52.20017
Camden,E09000007,73,-0.16291,51.54305
Chelmsford,E07000070,5,0.491177,51.73503
City of London,E09000001,14,-0.09351,51.51564
Croydon,E09000008,39,-0.07761,51.36597
Dacorum,E07000096,8,-0.55098,51.76845
Dartford,E07000107,11,0.245276,51.43373
Dorset,E06000059,8,-2.41467,50.79697
Ealing,E09000009,16,-0.3141,51.52442
Eastbourne,E07000061,18,0.258516,50.77387
Enfield,E09000010,5,-0.08144,51.64889
Gateshead,E08000037,6,-1.68694,54.93115
Greenwich,E09000011,103,0.050093,51.46394
Guildford,E07000209,6,-0.56257,51.253660000000004
Hackney,E09000012,54,-0.06045,51.55492
Halton,E06000006,7,-2.68853,53.33424
Hammersmith and Fulham,E09000013,28,-0.21735,51.48733
Haringey,E09000014,51,-0.1067,51.58771
Harrow,E09000015,14,-0.33598,51.59467
Hertsmere,E07000098,6,-0.26899,51.68017
Hillingdon,E09000017,12,-0.44182,51.53664
Hounslow,E09000018,30,-0.37855,51.46238
Ipswich,E07000202,17,1.166145,52.05592
Islington,E09000019,58,-0.10989,51.54546
Kensington and Chelsea,E09000020,26,-0.18977,51.49648
Kingston upon Thames,E09000021,11,-0.28367,51.39296
Lambeth,E09000022,86,-0.11385,51.46445
Leeds,E08000035,68,-1.50736,53.82273
Leicester,E06000016,7,-1.1304,52.63592
Lewisham,E09000023,33,-0.01734,51.4423
Liverpool,E08000012,49,-2.91364,53.4083
Maidstone,E07000110,5,0.584061,51.23566
Manchester,E08000003,136,-2.23359,53.47009
Medway,E06000035,6,0.563174,51.44772
Merton,E09000024,13,-0.18868,51.41058
Milton Keynes,E06000042,6,-0.7407,52.07241
Newcastle upon Tyne,E08000021,42,-1.65297,55.021
Newham,E09000025,130,0.027261,51.53149
North Somerset,E06000024,11,-2.75438,51.39706
North Tyneside,E08000022,7,-1.50923,55.02896
Norwich,E07000148,7,1.284979,52.64013
Nottingham,E06000018,22,-1.16667,52.95419
Plymouth,E06000026,12,-4.11297,50.40494
Portsmouth,E06000044,26,-1.07006,50.808
Preston,E07000123,8,-2.71809,53.82202
Reading,E06000038,29,-0.99071,51.45302
Redbridge,E09000026,17,0.070085,51.58588
Richmond upon Thames,E09000027,27,-0.28914,51.44035
Salford,E08000006,52,-2.38485,53.47927
Sheffield,E08000019,34,-1.54254,53.40358
Slough,E06000039,15,-0.57617,51.5035
Southampton,E06000045,24,-1.39952,50.9212
Southend-on-Sea,E06000033,6,0.706923,51.54917
Southwark,E09000028,127,-0.07308,51.46594
Stevenage,E07000243,6,-0.18987,51.90539
Sunderland,E08000024,5,-1.43344,54.85719
Sutton,E09000029,7,-0.17226,51.35755
Swindon,E06000030,12,-1.73367,51.57763
Thanet,E07000114,5,1.328226,51.35252
Torbay,E06000027,5,-3.55523,50.47092
Tower Hamlets,E09000030,286,-0.03647,51.51554
Trafford,E08000009,8,-2.36572,53.41671
Wakefield,E08000036,9,-1.42092,53.65922
Waltham Forest,E09000031,21,-0.0188,51.59461
Wandsworth,E09000032,87,-0.20021,51.4524
Watford,E07000103,9,-0.40429,51.6717
Westminster,E09000033,127,-0.15295,51.51221
Wigan,E08000010,7,-2.57247,53.51445
Windsor and Maidenhead,E06000040,8,-0.67541,51.48034
Woking,E07000217,6,-0.57982,51.30837
Wokingham,E06000041,5,-0.89935,51.42296
Wyre Forest,E07000239,7,-2.23494,52.3853
