Local Authority,Count
Barking and Dagenham,23
Barnet,37
Basingstoke and Deane,10
Birmingham,110
"Bournemouth, Christchurch and Poole",39
Bradford,15
Brent,31
Brighton and Hove,18
"Bristol, City of",46
Bromley,15
Calderdale,6
Cambridge,20
Camden,73
Chelmsford,5
City of London,14
Croydon,39
Dacorum,8
Dartford,11
Dorset,8
Ealing,16
Eastbourne,18
Enfield,5
Gateshead,6
Greenwich,103
Guildford,6
Hackney,54
Halton,7
Hammersmith and Fulham,28
Haringey,51
Harrow,14
Hertsmere,6
Hillingdon,12
Hounslow,30
Ipswich,17
Islington,58
Kensington and Chelsea,26
Kingston upon Thames,11
Lambeth,86
Leeds,68
Leicester,7
Lewisham,33
Liverpool,49
Maidstone,5
Manchester,136
Medway,6
Merton,13
Milton Keynes,6
Newcastle upon Tyne,42
Newham,130
North Somerset,11
North Tyneside,7
Norwich,7
Nottingham,22
Plymouth,12
Portsmouth,26
Preston,8
Reading,29
Redbridge,17
Richmond upon Thames,27
Salford,52
Sheffield,34
Slough,15
Southampton,24
Southend-on-Sea,6
Southwark,127
Stevenage,6
Sunderland,5
Sutton,7
Swindon,12
Thanet,5
Torbay,5
Tower Hamlets,286
Trafford,8
Wakefield,9
Waltham Forest,21
Wandsworth,87
Watford,9
Westminster,127
Wigan,7
Windsor and Maidenhead,8
Woking,6
Wokingham,5
Wyre Forest,7
